English,Czech
I,ja
to,na
and,a
that,že
it,to
of,z
me,mě
what,co
is,je
in,v
this,tento
know,znát
I'm,Jsem
for,pro
no,Ne
have,mít
my,můj
don't,Ne
just,prostě
not,ne
do,dělat
be,být
on,na
your,Vaše
was,byl
we,my
it's,své
with,s
so,tak
but,ale
all,Všechno
well,studna
are,jsou
he,on
oh,Ach
right,že jo
you're,ty jsi
get,dostat
here,tady
out,ven
going,jít
like,jako
yeah,to jo
if,-li
her,její
she,ona
can,umět
up,nahoru
want,chci
think,myslet si
that's,to je
now,Nyní
go,jít
him,mu
at,v
how,jak
got,mám
one,jeden
did,dělal
why,proč
see,vidět
come,Přijít
good,dobrý
they,ony
really,opravdu
as,tak jako
would,bych
look,Koukni se
when,když
time,čas
will,vůle
okay,dobře
back,zadní
can't,nemůže
mean,znamenat
tell,sdělit
I'll,Nemocný
from,z
hey,Ahoj
were,byly
he's,on je
could,mohl
didn't,ne
yes,Ano
his,jeho
or,nebo
something,něco
who,SZO
because,protože
some,nějaký
had,měl
then,pak
say,říci
ok,OK
take,vzít
an,An
way,způsob
us,nás
little,málo
make,udělat
need,potřeba
gonna,budu
never,nikdy
we're,Jsme
too,také
love,milovat
she's,ona je
I've,Já
sure,Tak určitě
them,jim
more,více
over,přes
our,náš
sorry,Promiňte
where,kde
what's,Co je
let,nechat
thing,věc
am,dopoledne
maybe,možná
down,dolů
man,muž
has,má
uh,Uh
very,velmi
by,podle
there's,je tu
should,by měl
anything,cokoliv
said,řekl
much,hodně
any,žádný
life,život
even,dokonce
off,vypnuto
please,prosím
doing,dělá
thank,poděkovat
give,dát
only,pouze
thought,myslel
help,Pomoc
two,dva
talk,mluvit
people,lidé
god,Bůh
still,ještě pořád
wait,Počkejte
into,do
find,nalézt
nothing,nic
again,znovu
things,věci
let's,Pojďme
call,volání
told,řekl
great,skvělý
before,před
better,lepší
ever,vůbec
night,noc
than,než
away,pryč
first,První
believe,věřit
other,jiný
feel,cítit
everything,všechno
work,práce
you've,Ty
fine,pokuta
home,Domov
after,po
last,poslední
these,tyto
day,den
keep,držet
does,ano
put,dát
around,kolem
stop,stop
they're,jsou
I'd,Já
guy,chlap
long,dlouho
always,vždy
listen,poslouchat
wanted,chtěl
Mr.,Pan.
guys,kluci
huh,Huh
those,ty
big,velký
lot,hodně
happened,Stalo
thanks,dík
won't,zvyklý
trying,pokus
kind,druh
wrong,špatně
through,přes
talking,mluvící
made,vyrobeno
new,Nový
being,bytost
guess,tipni si
hi,Ahoj
care,péče
bad,špatný
mom,maminka
remember,zapamatovat si
getting,dostat
we'll,studna
together,spolu
dad,Táto
leave,odejít
mother,matka
place,místo
understand,rozumět
wouldn't,ne
actually,vlastně
hear,slyšet
baby,dítě
nice,pěkný
father,otec
else,jiný
stay,pobyt
done,Hotovo
wasn't,nebyl
their,jejich
course,kurs
might,mohl
mind,mysl
every,každý
enough,dost
try,Snaž se
hell,peklo
came,přišel
someone,někdo
you'll,Budete
own,vlastní
family,rodina
whole,Celý
another,další
house or House,dům nebo dům
Jack or jack,Jack nebo Jack
yourself,vy sám
idea,idea
ask,dotázat se
best,nejlepší
must,musí
coming,příchod
old,starý
looking,hledá
woman,žena
hello,Ahoj
which,který
years,roky
room,"pokoj, místnost"
money,peníze
left,"vlevo, odjet"
knew,věděl
tonight,dnes večer
real,nemovitý
son,syn
hope,naděje
name,název
same,stejný
went,šel
um,Hm
hmm,Hmm
pretty,pěkný
saw,viděl
girl,dívka
sir,Vážený pane
show,ukázat
friend,příteli
already,již
saying,rčení
may or May,může nebo může
next,další
three,tři
job,práce
problem,problém
minute,minuta
found,nalezeno
world,svět
thinking,myslící
haven't,ne
heard,slyšel
honey,Miláček
matter,hmota
myself,moje maličkost
couldn't,nemohl
exactly,přesně tak
having,mít
ah,Ah
probably,pravděpodobně
happen,stát se
we've,my
hurt,zranit
boy,chlapec
both,oba
while,zatímco
dead,mrtvý
gotta,musím
alone,sám
since,od té doby
excuse,omluva
start,Start
kill,zabít
hard,tvrdý
you'd,Ty jsi
today,dnes
car,auto
ready,připraven
until,dokud
without,bez
whatever,To je jedno
wants,chce
hold,držet
wanna,chtít
yet,dosud
seen,vidět
deal,obchod
took,vzal
once,jednou
gone,pryč
called,volala
morning,ráno
supposed,předpokládaný
friends,přátelé
head,hlava
stuff,věci
most,většina
used,použitý
worry,trápit se
second,druhý
part,část
live,žít
truth,pravda
school,škola
face,tvář
forget,zapomenout
TRUE,SKUTEČNÝ
business,podnikání
each,každý
cause,způsobit
soon,již brzy
knows,ví
few,málo
telling,vyprávění
wife,manželka
who's,Kdo je
use,použití
chance,šance
run,běh
move,přestěhovat se
anyone,kdokoliv
person,osoba
bye,sbohem
J.,J.
somebody,někdo
Dr. or dr.,Dr. nebo Dr.
heart,srdce
such,takový
miss,"slečna, minout"
married,ženatý
point,směřovat
later,později
making,tvorba
meet,setkat
anyway,tak jako tak
many,mnoho
phone,telefon
reason,důvod
damn,sakra
lost,ztracený
looks,vzhled
bring,přinést
case,případ
turn,otočit se
wish,přát si
tomorrow,zítra
kids,děti
trust,důvěra
check,šek
change,změna
end,konec
late,pozdě
anymore,už
five,Pět
least,nejméně
town,město
aren't,nejsou
ha,ha
working,pracovní
year,rok
makes,dělá
taking,brát
means,prostředek
brother,bratr
play,hrát si
hate,nenávist
ago,před
says,říká
beautiful,Krásná
gave,dal
fact,skutečnost
crazy,šílený
party,oslava
sit,sedět
open,OTEVŘENO
afraid,Bájí se
between,mezi
important,Důležité
rest,odpočinek
fun,zábava
kid,dítě
word,slovo
watch,hodinky
glad,rád
everyone,každý
days,dny
sister,sestra
minutes,minut
everybody,všichni
bit,bit
couple,pár
whoa,Whoa
either,buď
Mrs.,Paní.
feeling,pocit
daughter,dcera
wow,Páni
